0.840454;497
2.02698;497
3.05969;498
4.31213;499
5.51514;502
6.51489;504
7.76184;505
8.87146;508
10.1843;510
11.0907;514
12.464;516
13.4967;518
14.6558;522
15.7489;524
16.9025;531
18.1219;533
19.1052;538
20.451;542
21.5771;548
22.6978;553
23.8733;560
24.9335;565
26.12;573
27.312;579
28.4216;587
29.3884;594
30.575;603
31.734;611
32.8546;619
33.9642;630
35.1233;641
36.2933;651
38.0292;0
39.4025;792
40.5121;798
41.6052;813
42.6544;832
44.9945;0
45.7965;1078
46.1591;0
47.027;1084
48.1366;1089
49.3396;1091
50.6854;916
53.3276;761
54.5142;770
55.6677;779
61.3092;853
62.7484;1876
63.8745;1922
67.3407;1956
68.4998;1985
69.7028;2006
70.8234;2028
71.9824;2049
73.125;2101
74.2621;2170
75.4211;2197
76.5912;2228
77.7777;2207
78.9368;2163
80.1398;2095
81.2933;2044
82.4963;2003
83.6829;1953
84.8584;1912
85.9955;1878
87.215;1842
88.3575;1809
89.577;1774
90.78;1743
91.9336;1721
93.0927;1694
94.2188;1737
95.3723;1780
96.5149;1830
97.6685;1881
98.7781;1949
101.898;0
102.014;3044
103.2;3132
104.359;3214
105.513;3305
106.545;3439
107.682;3439
112.401;3017
113.544;3005
114.686;3013
115.873;2984
117.015;2980
118.169;2986
119.328;3006
120.515;3031
121.641;3098
122.745;3548
123.904;3654
125.074;3648
126.2;3636
127.37;3630
128.546;3624
129.699;3623
130.858;3616
132.028;3619
133.198;3632
134.39;3377
135.593;3089
136.703;3340
137.966;2758
139.109;2759
140.262;2767
141.432;2785
142.608;2788
143.734;2792
146.091;2835
147.217;2846
148.359;2884
152.935;3225
154.061;3825
159.857;3595
162.356;2545
163.515;2468
164.669;2448
165.855;2413
167.014;2415
168.184;2402
170.42;2719
171.573;2707
176.215;2696
178.934;1702
183.466;1953
190.327;2274
197.309;2265
198.452;2368
200.934;1881
204.093;3009
205.263;2985
206.417;2953
207.795;1971
211.075;2909
212.465;1874
218.029;2871
219.199;2772
220.325;2882
221.495;2870
222.654;2875
223.808;2878
224.967;2881
226.121;2885
